rank,title,volume_usd,status,category,created_at,end_date,url,liquidity,market_id
1,No change in Fed interest rates after June 2025 meeting?,996713.3533849997,Active,Economy,2025-02-04T21:57:45.490441Z,2025-06-18T12:00:00Z,https://polymarket.com/event/no-change-in-fed-interest-rates-after-june-2025-meeting,489152.19472,521836
2,Fed decreases interest rates by 25 bps after June 2025 meeting?,884521.490485002,Active,Economy,2025-02-04T21:57:45.227112Z,2025-06-18T12:00:00Z,https://polymarket.com/event/fed-decreases-interest-rates-by-25-bps-after-june-2025-meeting,573651.4794,521835
3,Fed decreases interest rates by 50+ bps after June 2025 meeting?,677421.0749999997,Active,Economy,2025-02-04T21:57:44.947276Z,2025-06-18T12:00:00Z,https://polymarket.com/event/fed-decreases-interest-rates-by-50-bps-after-june-2025-meeting,1565168.93321,521834
4,Fed increases interest rates by 25+ bps after June 2025 meeting?,433056.075492,Active,Economy,2025-02-04T21:57:45.734461Z,2025-06-18T12:00:00Z,https://polymarket.com/event/fed-increases-interest-rates-by-25-bps-after-june-2025-meeting,1515653.83957,521837
5,Russia x Ukraine ceasefire before July?,388153.92177899997,Active,World Affairs,2025-01-22T18:49:18.013328Z,2025-06-30T12:00:00Z,https://polymarket.com/event/russia-x-ukraine-ceasefire-before-july,355828.0886,519628
6,Will the Indiana Pacers win the 2025 NBA Finals?,315428.3485440001,Active,Sports,2024-09-24T15:23:32.23253Z,2025-06-23T12:00:00Z,https://polymarket.com/event/will-the-indiana-pacers-win-the-2025-nba-finals,949113.07263,507868
7,Will Lorenzo Musetti win the 2025 French Open?,255831.73137,Active,Sports,2025-05-06T14:30:39.714386Z,2025-06-08T12:00:00Z,https://polymarket.com/event/will-lorenzo-musetti-win-the-2025-french-open,35223.4611,541855
8,Will Andrea Kimi Antonelli be the 2025 Drivers Champion?,209071.544331,Active,Sports,2025-02-26T18:26:28.601262Z,2025-12-07T12:00:00Z,https://polymarket.com/event/will-andrea-kimi-antonelli-be-the-2025-drivers-champion,391425.57523,525363
9,Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,186983.31708699994,Active,Politics,2024-12-30T09:19:31.607916Z,2025-06-24T12:00:00Z,https://polymarket.com/event/will-andrew-cuomo-win-the-democratic-primary-for-mayor-of-new-york-city,239751.0315,516785
10,Will Elon tweet 230 or more times May 30–June 6?,184195.18487199993,Active,World Affairs,2025-05-30T15:49:15.357892Z,2025-06-06T12:00:00Z,https://polymarket.com/event/will-elon-tweet-230-or-more-times-may-30june-6,15233.99227,548500
11,Will Elon tweet 185–199 times May 30–June 6?,177431.89244400006,Active,World Affairs,2025-05-30T15:49:13.874526Z,2025-06-06T12:00:00Z,https://polymarket.com/event/will-elon-tweet-185199-times-may-30june-6,18700.03215,548497
12,Will  Zohran Mamdani win the Democratic Primary for Mayor of New York City?,156580.72404400003,Active,Politics,2024-12-30T09:31:17.263449Z,2025-06-24T12:00:00Z,https://polymarket.com/event/will-zohran-mamdani-win-the-democratic-primary-for-mayor-of-new-york-city,125341.20934,516792
13,Ethereum all time high by June 30?,148937.94440400004,Active,Crypto,2024-12-26T15:24:43.456634Z,2025-06-30T12:00:00Z,https://polymarket.com/event/ethereum-all-time-high-by-june,339800.06878,516450
14,US recession in 2025?,147373.45607000001,Active,Economy,2024-12-29T18:04:31.897422Z,2026-02-28T12:00:00Z,https://polymarket.com/event/us-recession-in-2025,199873.6181,516710
15,Will Carlos Alcaraz win the 2025 French Open?,132971.22214,Active,Sports,2025-05-06T14:30:37.8907Z,2025-06-08T12:00:00Z,https://polymarket.com/event/will-carlos-alcaraz-win-the-2025-french-open,110682.8695,541849
16,Will Elon tweet 200–214 times May 30–June 6?,126278.38858600002,Active,World Affairs,2025-05-30T15:49:14.310027Z,2025-06-06T12:00:00Z,https://polymarket.com/event/will-elon-tweet-200214-times-may-30june-6,22958.12463,548498
17,Will Elon tweet 215–229 times May 30–June 6?,119619.70261999997,Active,World Affairs,2025-05-30T15:49:14.821946Z,2025-06-06T12:00:00Z,https://polymarket.com/event/will-elon-tweet-215229-times-may-30june-6,11329.58035,548499
18,Russia x Ukraine ceasefire in 2025?,119525.521543,Active,World Affairs,2024-12-29T18:47:35.140745Z,2025-12-31T12:00:00Z,https://polymarket.com/event/russia-x-ukraine-ceasefire-in-2025,148315.4777,516719
19,Will the Oklahoma City Thunder win the 2025 NBA Finals?,118655.18281300008,Active,Sports,2024-09-24T15:28:42.840486Z,2025-06-23T12:00:00Z,https://polymarket.com/event/will-the-oklahoma-city-thunder-win-the-2025-nba-finals,907105.8603,507884
20,"Will Trump say ""Big Beautiful Deal"" this week?",114268.463081,Active,Politics,2025-05-30T16:45:04.717571Z,2025-06-07T00:00:00Z,https://polymarket.com/event/will-trump-say-big-beautiful-deal-this-week,568.5039,548523
21,Will Bitcoin reach $150K in June?,113442.74398000004,Active,Crypto,2025-05-30T20:19:47.499118Z,2025-06-30T00:00:00Z,https://polymarket.com/event/will-bitcoin-reach-150k-in-june,335814.48318,548614
22,US recognizes Russian sovereignty over Ukraine?,111489.73160000001,Active,Politics,2025-02-20T16:41:56.546019Z,2025-12-31T12:00:00Z,https://polymarket.com/event/us-recognizes-russian-sovereignty-over-ukraine,11978.2373,524285
23,Will Adrienne Adams win the Democratic Primary for Mayor of New York City?,111264.36357700001,Active,Politics,2024-12-30T09:42:26.754795Z,2025-06-24T12:00:00Z,https://polymarket.com/event/will-adrienne-adams-win-the-democratic-primary-for-mayor-of-new-york-city,32171.3975,516797
24,Will LLA hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,108214.571537,Active,Politics,2025-02-05T20:51:41.740059Z,2025-10-26T12:00:00Z,https://polymarket.com/event/will-lla-hold-the-most-seats-in-the-chamber-of-deputies-following-the-2025-argentina-election,9377.7806,521915
25,Will the Thunder beat the Pacers 4-1?,92602.64817700001,Active,Sports,2025-05-31T16:35:12.084152Z,2025-06-22T00:00:00Z,https://polymarket.com/event/will-the-thunder-beat-the-pacers-4-1,174637.9254,548782
26,Israel x Hamas ceasefire before July?,91385.92119699999,Active,World Affairs,2025-03-19T19:39:36.610985Z,2025-06-30T12:00:00Z,https://polymarket.com/event/israel-x-hamas-ceasefire-before-july-2025,64666.4474,528977
27,Panthers vs. Oilers,89919.984617,Active,Sports,2025-06-02T00:00:00.666429Z,2025-06-12T00:00:00Z,https://polymarket.com/event/nhl-fla-edm-2025-06-04,377569.7328,548876
28,Will Brad Lander win the Democratic Primary for Mayor of New York City?,88454.89816099999,Active,Politics,2024-12-30T09:29:17.939803Z,2025-06-24T12:00:00Z,https://polymarket.com/event/will-brad-lander-win-the-democratic-primary-for-mayor-of-new-york-city,76892.22981,516791
29,Will Vitality win the BLAST.tv Austin Major tournament,87168.02862,Active,Sports,2025-05-26T10:48:05.504386Z,2025-06-22T12:00:00Z,https://polymarket.com/event/will-vitality-win-the-blasttv-austin-major-tournament,6212.1022,547253
30,Angels vs. Red Sox,83975.89467800003,Active,Sports,2025-06-03T08:00:29.25137Z,2025-06-11T17:35:00Z,https://polymarket.com/event/mlb-laa-bos-2025-06-04,130930.167,549389
31,Will NVIDIA be the largest company in the world by market cap on July 31?,81407.726443,Active,Uncategorized,2025-05-27T19:31:44.693746Z,2025-07-31T12:00:00Z,https://polymarket.com/event/will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-july-31,8307.4034,547721
32,Will Scott Stringer win the Democratic Primary for Mayor of New York City?,79946.077166,Active,Politics,2024-12-30T09:24:04.749965Z,2025-06-24T12:00:00Z,https://polymarket.com/event/will-scott-stringer-win-the-democratic-primary-for-mayor-of-new-york-city,39304.02689,516788
33,Will the Edmonton Oilers win the 2025 Stanley Cup?,77665.36751300002,Active,Sports,2024-10-07T19:17:04.892386Z,2025-06-23T12:00:00Z,https://polymarket.com/event/will-the-edmonton-oilers-win-the-2025-stanley-cup,480117.85828,509095
34,Will Bitcoin dip to $100K in June?,77327.071149,Active,Crypto,2025-05-30T20:19:49.246296Z,2025-06-30T00:00:00Z,https://polymarket.com/event/will-bitcoin-dip-to-100k-in-june,140561.5131,548618
35,Fed decreases interest rates by 50+ bps after July 2025 meeting?,77314.81142899998,Active,Economy,2025-03-19T19:32:15.916884Z,2025-07-30T12:00:00Z,https://polymarket.com/event/fed-decreases-interest-rates-by-50-bps-after-july-2025-meeting,129014.39946,528972
36,Fed decreases interest rates by 25 bps after July 2025 meeting?,76198.790032,Active,Economy,2025-03-19T19:32:16.262451Z,2025-07-30T12:00:00Z,https://polymarket.com/event/fed-decreases-interest-rates-by-25-bps-after-july-2025-meeting,25129.8228,528973
37,Will Novak Djokovic win the 2025 French Open?,76106.898239,Active,Sports,2025-05-06T14:30:38.766437Z,2025-06-08T12:00:00Z,https://polymarket.com/event/will-novak-djokovic-win-the-2025-french-open,49303.68957,541852
38,Will Russia capture Kupiansk by December 31?,75420.481226,Active,World Affairs,2025-04-17T21:24:39.276114Z,2025-08-31T12:00:00Z,https://polymarket.com/event/will-russia-capture-kupiansk-by-december-31,9784.7419,537888
39,Will 1 Fed rate cut happen in 2025?,74417.266406,Active,Economy,2024-12-29T19:53:12.962104Z,2025-12-10T12:00:00Z,https://polymarket.com/event/will-1-fed-rate-cut-happen-in-2025,53295.9627,516724
40,Will Microsoft be the largest company in the world by market cap on July 31?,72315.32068900001,Active,Uncategorized,2025-05-27T19:31:44.274023Z,2025-07-31T12:00:00Z,https://polymarket.com/event/will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-july-31,8504.3277,547720
41,Will Zelenskyy wear a suit before July?,70561.99076399999,Active,Uncategorized,2025-05-22T22:19:20.138837Z,2025-06-30T12:00:00Z,https://polymarket.com/event/will-zelenskyy-wear-a-suit-before-july,53920.9594,546814
42,Russia x Ukraine ceasefire before October?,69121.855925,Active,World Affairs,2025-04-14T19:35:27.525312Z,2025-09-30T12:00:00Z,https://polymarket.com/event/russia-x-ukraine-ceasefire-before-october,73811.124,537194
43,Will Putin meet with Zelenskyy before July?,68737.076168,Active,Uncategorized,2025-04-18T20:27:32.474118Z,2025-06-30T12:00:00Z,https://polymarket.com/event/will-putin-meet-with-zelenskyy-before-july,105949.34273,538340
44,No change in Fed interest rates after July 2025 meeting?,68422.58196199998,Active,Economy,2025-03-19T19:32:16.594619Z,2025-07-30T12:00:00Z,https://polymarket.com/event/no-change-in-fed-interest-rates-after-july-2025-meeting,67296.978,528974
45,Will Bitcoin reach $110K in June?,68335.20370700002,Active,Crypto,2025-05-30T20:19:48.794999Z,2025-06-30T00:00:00Z,https://polymarket.com/event/will-bitcoin-reach-110k-in-june,83676.314,548617
46,Will Bitcoin reach $120K in June?,66618.30179899998,Active,Crypto,2025-05-30T20:19:47.936807Z,2025-06-30T00:00:00Z,https://polymarket.com/event/will-bitcoin-reach-120k-in-june,81323.701,548615
47,Will OG qualify for Stage 2 of the BLAST.tv Austin Major?,62913.488575,Active,Sports,2025-05-30T10:39:59.016106Z,2025-06-06T12:00:00Z,https://polymarket.com/event/will-og-qualify-for-stage-2-of-the-blasttv-austin-major,94.9864,548436
48,Will Chelsea win Group D at the FIFA Club World Cup?,62876.292769,Active,Uncategorized,2025-06-03T14:52:47.12608Z,2025-06-28T00:00:00Z,https://polymarket.com/event/will-chelsea-win-group-d-at-the-fifa-club-world-cup-636,3402.618,549474
49,Russia-Ukraine Ceasefire before GTA VI?,62740.13749000001,Active,World Affairs,2025-05-02T15:03:10.397014Z,2026-07-31T12:00:00Z,https://polymarket.com/event/russia-ukraine-ceasefire-before-gta-vi,20567.6775,540816
50,Will the next government of Suriname be NDP/ABOP?,62737.0,Active,Politics,2025-05-27T02:51:42.226495Z,2025-06-30T12:00:00Z,https://polymarket.com/event/will-the-next-government-of-suriname-be-ndpabop,5224.78678,547442
